Subject,nAUC_15,nAUC_30,nAUC_45,nAUC_all,LRS_15,LRS_30,LRS_45,LRS_all,Chirp_Complexity
MR-0270,0.12606193289561887,0.1310552403088083,0.13314570315528787,0.13607383491966263,0.0010295757169628485,0.0004344771534593724,0.0014306054850109003,0.0004062010329753382,0.13607383491966263
MR-0273,0.12301604311235176,0.1603099995078946,0.1775942094209604,0.16125437895598627,0.00663010750681984,0.001307481963700873,0.0006257188529475791,0.0020918634211815083,0.16125437895598627
MR-0274,0.3769619097030235,0.2629071130928051,0.22549434196460363,0.3017018236766526,0.0037099792397888337,-0.006477358010941003,-0.003200949686419875,-0.004813558228391059,0.3017018236766526
MR-0275,0.16176469608568758,0.16230170275280134,0.13427372633420429,0.1604476957003847,0.006726142711928322,-0.002480401622708234,-0.00026634636896503505,-0.0006250723592012995,0.1604476957003847
MR-0276,0.25870531971084004,0.22661814868962799,0.21247576363378531,0.24428818057466856,0.006437211205786959,-0.00199821627849389,-0.0019269026167979722,-0.0012902916525207083,0.24428818057466856
MR-0278,0.234387896861844,0.23066552327756373,0.2597546632492081,0.25384080094629236,0.009923176847368926,0.00017564752547079862,0.00137622651248479,0.001271015084917714,0.25384080094629236
MR-0280-t1,0.5474995794744778,0.33121077633897983,0.24123530806482088,0.38853746857891697,0.005632610755602577,-0.01715584839227349,0.002034078022578718,-0.009619896542083443,0.38853746857891697
MR-0280-t2,0.5441131327502199,0.2907988694306864,0.2022840746208344,0.3581137348084764,0.0033303154550019583,-0.02100715147334112,0.0033557840564628844,-0.010925613319693118,0.3581137348084764
MR-0282,0.1360803171241424,0.12267460970589282,0.11978796753625719,0.13214175189225058,0.0005513667635151268,-7.988292988445621e-05,9.967005630176598e-05,-0.0004354046133300256,0.13214175189225058
MR-0283-t2,0.30930568716915086,0.2687505265157642,0.2088304359681864,0.27483443944890884,0.006361139912879857,-0.0061895948765223925,-0.001585538932821054,-0.00307458309358672,0.27483443944890884
MR-0284,0.2777660449928602,0.23091520397624252,0.20859586398675017,0.2498143135410548,0.0005581006128366344,-2.848874521827491e-05,-0.0002653183172517328,-0.0020258296666769045,0.2498143135410548
MR-0285-t1,0.349726602446162,0.26648410771600084,0.2739237699329401,0.3100883881153537,-0.012124609782203385,-0.0018098321570742064,0.001658545579011668,-0.0028000284846866268,0.3100883881153537
MR-0285-t2,0.2454852786060633,0.2094093342339133,0.18680802538322214,0.22372978694797216,0.000993450348636012,-0.002033293649575567,0.000599822338977098,-0.001748076884859616,0.22372978694797216
MR-0287,0.26984294960451494,0.16439123275342174,0.13077262058526695,0.1967364652256704,0.0035049654552931036,-0.007981897751811524,0.0013763270416676443,-0.004318639548023721,0.1967364652256704
MR-0288-t1,0.14870197273876523,0.13646141195088995,0.12734246103738317,0.14395686972374863,0.0017087701061769124,-0.001213284315105747,0.0006654045203533691,-0.0005419969602097872,0.14395686972374863
MR-0288-t2,0.20590588437225393,0.17782234369090247,0.17254731905581247,0.1941018753152418,0.0010785617464606724,-0.0009540629471632021,0.0012283359300879957,-0.0008768870018616676,0.1941018753152418
MR-0289,0.36120218761919815,0.3098495384790098,0.26584729991460176,0.32734547700525807,0.01019895992438364,-0.0054564217725406785,-0.0008914699521588252,-0.002638879954225622,0.32734547700525807
MR-0290,0.2207418408682872,0.16241580640848605,0.15180265734842424,0.1865507749628537,0.0011094617697439317,-0.003141158970516111,0.00032834773271990574,-0.0021149048155119725,0.1865507749628537
MR-0291,0.1953719732053214,0.13965646563929476,0.14113417658014402,0.1657575059239207,-0.0012230706105378678,-0.00044415096636653864,-0.00023968703981704678,-0.0016614668454336713,0.1657575059239207
MR-0292-t1,0.17576387124773293,0.17701470224891488,0.19187172135193115,0.19023283250977324,0.0053665697807366965,0.000346822484911752,0.0014030854109165828,0.0008787020307055553,0.19023283250977324
MR-0292-t2,0.18169145140139262,0.1656871303834505,0.14916083186056547,0.17318479495961106,0.003667310589607611,-0.002681066076863756,0.0008786130564167815,-0.0008569600323467656,0.17318479495961106
MR-0293,0.23219908482882884,0.21378817966081837,0.18233298394914224,0.21959712198167122,0.0035185140173655104,-0.0012164313922504056,-0.002172332304868885,-0.001438753906862891,0.21959712198167122
MR-0294,0.2466051987537491,0.23330692958788155,0.1967731942472278,0.236319785626907,0.005432718081323297,-0.0027299388566983033,0.00034572029653864,-0.0013331652897218913,0.236319785626907
MR-0296-t1,0.17091663020131584,0.14726609999816187,0.14776836785394126,0.16242381398349773,0.0034065485867860483,-0.0016024680835134391,0.0009179315185234979,-0.0005404243142480853,0.16242381398349773
MR-0296-t2,0.24200638288636656,0.2611182152906662,0.27118018582269,0.27075735254438804,0.008718632793457554,-0.003788123014661989,0.0010630311359468767,0.0012249082103923214,0.27075735254438804
